Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female 3-Lift Equipped Junior (19 – 23 years) 100+KG",100,500,19,23,F,145,110,160,415,1,[3114],4,14
"Female 3-Lift Equipped Open (24 – 39 years) 48KG",1,48,24,39,F,100,70,117,285,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 53KG",48,53,24,39,F,112,75,130,320,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 58KG",53,58,24,39,F,125,80,145,365,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 64KG",58,64,24,39,F,135,85,160,395,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 72KG",64,72,24,39,F,150,90,170,425,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 84KG",72,84,24,39,F,200,157,210,562,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 100KG",84,100,24,39,F,175,110,190,485,1,,4,14
"Female 3-Lift Equipped Open (24 – 39 years) 100+KG",100,500,24,39,F,228,120,251,598,1,,4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 48KG",1,48,40,44,F,95,60,110,265,1,[3044],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 53KG",48,53,40,44,F,100,65,125,300,1,[3054],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 58KG",53,58,40,44,F,110,70,135,315,1,[3064],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 64KG",58,64,40,44,F,110,75,145,335,1,[3074],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 72KG",64,72,40,44,F,142,80,165,377,1,[3084],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 84KG",72,84,40,44,F,200,157,210,562,1,[3094],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 100KG",84,100,40,44,F,145,105,195,485,1,[3104],4,14
"Female 3-Lift Equipped Masters 1 (40 – 44 years) 100+KG",100,500,40,44,F,175,120,200,510,1,[3114],4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 48KG",1,48,45,49,F,90,55,105,250,1,"[3044,3124]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 53KG",48,53,45,49,F,95,62,110,265,1,"[3054,3134]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 58KG",53,58,45,49,F,100,65,125,300,1,"[3064,3144]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 64KG",58,64,45,49,F,105,70,135,315,1,"[3074,3154]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 72KG",64,72,45,49,F,110,75,145,335,1,"[3084,3164]",4,14
