Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Masters 7 (70 – 74 years) 48KG",1,48,70,74,F,0,26,0,0,1,"[""17"",""25"",""33"",""41"",""49"",""57"",""65""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 53KG",48,53,70,74,F,0,28,0,0,1,"[""18"",""26"",""34"",""42"",""50"",""58"",""66""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 58KG",53,58,70,74,F,0,32,0,0,1,"[""19"",""27"",""35"",""44"",""51"",""59"",""67""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 64KG",58,64,70,74,F,0,37,0,0,1,"[""20"",""28"",""36"",""44"",""52"",""60"",""68""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 72KG",64,72,70,74,F,0,40,0,0,1,"[""22"",""30"",""38"",""46"",""54"",""62"",""70""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 84KG",72,84,70,74,F,0,45,0,0,1,"[""22"",""30"",""38"",""46"",""54"",""62"",""70""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 100KG",84,100,70,74,F,0,50,0,0,1,"[""23"",""31"",""39"",""47"",""55"",""63"",""71""]",1,1
"Female Bench Only Classic Masters 7 (70 – 74 years) 100+KG",100,500,70,74,F,0,55,0,0,1,"[""24"",""32"",""40"",""48"",""56"",""64"",""72""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 48KG",1,48,75,79,F,0,24,0,0,1,"[""17"",""25"",""33"",""41"",""49"",""57"",""65"",""73""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 53KG",48,53,75,79,F,0,26,0,0,1,"[""18"",""26"",""34"",""42"",""50"",""58"",""66"",""74""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 58KG",53,58,75,79,F,0,28,0,0,1,"[""19"",""27"",""35"",""44"",""51"",""59"",""67"",""75""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 64KG",58,64,75,79,F,0,32,0,0,1,"[""20"",""28"",""36"",""44"",""52"",""60"",""68"",""76""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 72KG",64,72,75,79,F,0,37,0,0,1,"[""21"",""29"",""37"",""45"",""53"",""61"",""69"",""77""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 84KG",72,84,75,79,F,0,40,0,0,1,"[""22"",""30"",""38"",""46"",""54"",""62"",""70"",""77""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 100KG",84,100,75,79,F,0,43,0,1,1,"[""23"",""31"",""39"",""47"",""55"",""63"",""71"",""79""]",1,1
"Female Bench Only Classic Masters 8 (75 – 79 years) 100+KG",100,500,75,79,F,0,47,0,0,1,"[""24"",""32"",""40"",""48"",""56"",""64"",""72"",""80""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 48KG",1,48,80,200,F,0,20,0,0,1,"[""17"",""25"",""33"",""41"",""49"",""57"",""65"",""73"",""81""]",1,1
